학원명,주소,교습과정,지역,clean_addr,location,lat,lon
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오름수학학원,"인천광역시 연수구 앵고개로 242 , 506호 (동춘동, 연수제일종합상가)",보통교과,연수구 (1),인천광역시 연수구 앵고개로 242,"앵고개로, 동춘3동, 연수구, 인천광역시, 21698, 대한민국",37.4035342,126.6790509
오아플러스학원,"인천광역시 연수구 랜드마크로 68 , 276호, 277호(송도동,랜드마크시티센트럴더샵)",보통교과,연수구 (1),인천광역시 연수구 랜드마크로 68,"68, 랜드마크로, 송도5동, 연수구, 인천광역시, 22018, 대한민국",37.4148762,126.6196997
