정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
청천푸르지오아파트,40811,8438,2144,8438,2144,0,352.73
청천푸르지오아파트,40812,1621,5266,1621,5266,0,229.57
청천푸르지오아파트,40894,33,2073,33,2073,0,70.2
청천하우스디아파트,40475,7071,2465,7071,2465,0,317.87
청천하우스디아파트,40477,1061,4646,1061,4646,0,190.23
청학동.한국전력남인천지사,38230,2637,3627,2637,3627,0,208.8
청학문화센터,38239,8002,6677,8002,6677,0,489.3
청학사거리,38256,24670,16014,24670,16014,0,1356.13
청학사거리,38259,11562,16020,11562,16020,0,919.4
청학사거리,38509,1727,1867,1727,1867,0,119.8
청학아파트,38236,10193,6422,10193,6422,0,553.83
청학아파트,38341,7317,7936,7317,7936,0,508.43
청학중학교,38160,3667,4796,3667,4796,0,282.1
청학중학교,38161,3091,2404,3091,2404,0,183.17
청학중학교,38496,954,383,954,383,0,44.57
청학초등학교,38181,2648,3469,2648,3469,0,203.9
청학초등학교,38185,3283,2871,3283,2871,0,205.13
청학초등학교,38190,2118,2858,2118,2858,0,165.87
체육공원,90214,41,58,41,58,0,3.3
체육공원앞,35605,31,1324,31,1324,0,45.17
체육공원앞,35606,1113,12,1113,12,0,37.5
초은고등학교,89025,11089,6874,11089,6874,0,598.77
초은고등학교,89026,4934,12451,4934,12451,0,579.5
초정마을,41252,3728,2390,3728,2390,0,203.93
초정마을,41254,2029,1084,2029,1084,0,103.77
초지,43016,10,69,9,69,1,2.63
초지대교,43017,239,485,239,485,0,24.13
초지대교,43071,1646,538,1646,538,0,72.8
초지대교,43106,286,841,286,841,0,37.57
초지리,43026,65,305,65,305,0,12.33
초지리,43093,9,42,9,42,0,1.7
초지삼거리,43112,139,23,139,23,0,5.4
초지삼거리,43147,2,20,2,20,0,0.73
초지삼거리,43508,16,125,16,125,0,4.7
초지진,43024,37,82,37,82,0,3.97
초지진,43025,309,134,309,134,0,14.77
초지큰말,43260,30,0,30,0,0,1
초지큰말,43512,0,17,0,17,0,0.57
축현초등학교.인천시립박물관,38151,4931,3786,4931,3786,0,290.57
축현초등학교.인천시립박물관,38152,3038,4417,3038,4417,0,248.5
축협,43061,1805,982,1790,982,15,92.9
충렬사,43629,57,50,57,50,0,3.57
충성아파트,40117,1191,2021,1191,2021,0,107.07
치마바위,43247,2,32,2,32,0,1.13
치마바위,43646,11,4,11,4,0,0.5
카페거리,35727,114,36,114,36,0,5
카페거리,35728,26,227,26,227,0,8.43
칼빈매니토바국제학교,38370,2181,5003,2181,5003,0,239.47
칼빈매니토바국제학교,38435,4290,725,4290,725,0,167.17
칼빈매니토바국제학교,38500,4313,2363,4313,2363,0,222.53
캐슬해모로,39845,1261,338,1261,338,0,53.3
캐슬해모로,39846,5198,833,5198,833,0,201.03
캐슬해모로,39848,822,1054,822,1054,0,62.53
캐슬해모로,39849,1129,4746,1129,4746,0,195.83
캠퍼스타운역,38419,13312,23726,13312,23726,0,1234.6
캠퍼스타운역,38420,13422,9445,13422,9445,0,762.23
캠퍼스타운역(3번출구),38388,32,3011,32,3011,0,101.43
캠퍼스타운역(3번출구),38717,913,24,913,24,0,31.23
커넬워크,38415,2138,638,2138,638,0,92.53
커넬워크,38417,3547,3363,3547,3363,0,230.33
커넬워크,38753,46,2738,46,2738,0,92.8
커넬워크(4동),38527,459,1072,459,1072,0,51.03
컨벤시아,38372,1444,2757,1444,2757,0,140.03
코세스물류창고,89197,66,11,66,11,0,2.57
코스모스아파트,42098,292,1102,292,1102,0,46.47
코오롱더프라우,38439,13,1198,13,1198,0,40.37
코오롱아파트작전중.고.여고,41117,3010,3637,3010,3637,0,221.57
"쿠팡16,17센터",35865,543,1227,543,1227,0,59
쿠팡물류센터,89157,6,681,6,681,0,22.9
큐티엘,90218,14,18,14,18,0,1.07
크리스탈로102번길,89529,108,3,108,3,0,3.7
크리스탈로102번길,89530,11,86,11,86,0,3.23
큰말,43937,42,0,42,0,0,1.4
큰말,43938,0,11,0,11,0,0.37
큰말,43949,4,9,4,9,0,0.43
큰말,90309,3,3,2,3,1,0.2
큰무리선착장,35710,151,81,151,81,0,7.73
큰무리선착장,35712,36,289,36,289,0,10.83
큰방죽사거리,39144,1999,745,1999,745,0,91.47
큰방죽사거리,39145,302,2266,302,2266,0,85.6
큰방죽삼거리,39575,84,203,84,203,0,9.57
큰방죽삼거리,39576,52,385,52,385,0,14.57
큰산너머입구,44013,9,156,9,156,0,5.5
큰산너머입구,44014,162,27,162,27,0,6.3
킹스빌타운,41315,3046,3317,3046,3317,0,212.1
타운하우스공장.명진화학,89226,17,527,17,527,0,18.13
타운하우스공장.명진화학,89227,646,20,646,20,0,22.2
탄토마을,90378,1,11,1,11,0,0.4
탄토마을,90381,18,1,18,1,0,0.63
탑재,43115,0,73,0,73,0,2.43
탑재,43327,237,282,237,282,0,17.3
탑재,43579,277,241,276,241,1,17.27
태경아파트,38275,8476,9854,8476,9854,0,611
태산.대진아파트,38294,2884,2979,2884,2979,0,195.43
태산아파트,41193,8507,11321,8507,11321,0,660.93
태산아파트,42227,531,448,531,448,0,32.63
태산아파트·하나아파트,41578,1364,2559,1364,2559,0,130.77
태신보세창고,89236,84,791,84,791,0,29.17
태신보세창고,89237,2558,74,2558,74,0,87.73
태양공단,42147,3817,2565,3817,2565,0,212.73
태양공단,42148,4868,3334,4868,3334,0,273.4
태양주택,40204,3,2114,3,2114,0,70.57
태양주택,40936,2718,20,2718,20,0,91.27
태영아파트,42298,2999,2956,2999,2956,0,198.5
태영아파트,42300,3090,2685,3090,2685,0,192.5
태평1차아파트,39241,3329,483,3329,483,0,127.07
태평1차아파트,39242,409,3686,409,3686,0,136.5
태평1차아파트,39516,9483,1645,9483,1645,0,370.93
태평1차아파트,39517,1935,10761,1935,10761,0,423.2
태평2차아파트,39225,12588,3809,12588,3809,0,546.57
태평2차아파트,39518,3814,8804,3814,8804,0,420.6
태평아파트,38083,8572,7181,8572,7181,0,525.1
태평아파트,41183,1495,151,1495,151,0,54.87
