정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
능곡마을회관,43553,62,13,62,13,0,2.5
능곡마을회관,43649,16,51,16,51,0,2.23
능골,90442,3,30,3,30,0,1.1
능미,43921,44,20,43,20,1,2.13
능미,43922,5,49,4,49,1,1.8
능안,43276,112,39,112,39,0,5.03
능안,43571,22,67,22,67,0,2.97
능촌삼거리,90370,0,5,0,5,0,0.17
능촌입구,43560,14,1,14,1,0,0.5
능촌입구,43854,0,22,0,22,0,0.73
능허대공원,38567,749,1100,749,1100,0,61.63
능허대공원,38777,304,167,304,167,0,15.7
능허대로.소암마을,38811,11,153,11,153,0,5.47
능허대로.소암마을,38812,213,46,213,46,0,8.63
다남동소촌마을입구,41329,585,39,585,39,0,20.8
다남동소촌마을입구,41330,42,897,42,897,0,31.3
다남동역골입구,41333,2,174,2,174,0,5.87
다남동역골입구,41334,127,335,127,335,0,15.4
다남성결교회,41664,5,7,5,7,0,0.4
다남식당,41477,1634,5011,1634,5011,0,221.5
다남식당,41478,620,2666,620,2666,0,109.53
다리목,43717,13,7,13,7,0,0.67
다리목,43845,14,13,14,13,0,0.9
다사랑마을입구,35887,65,25,65,25,0,3
다사랑마을입구,35888,15,90,15,90,0,3.5
다운,43605,90,130,87,130,3,7.33
다운,43822,32,120,32,120,0,5.07
다운1리,43582,11,41,11,41,0,1.73
다운1리,43821,19,5,19,5,0,0.8
다운마을,43398,6,82,6,82,0,2.93
다운마을,43824,89,1,89,1,0,3
다임메가타운,40870,85,1831,85,1831,0,63.87
단봉초등학교,42380,4266,888,4266,888,0,171.8
단봉초등학교,42382,957,3960,957,3960,0,163.9
달빛축제공원,38620,127,159,127,159,0,9.53
달빛축제공원,38621,99,288,99,288,0,12.9
달빛축제공원대공연장,38733,270,941,270,941,0,40.37
달빛축제공원대공연장,38734,1457,545,1457,545,0,66.73
담방로사거리,39275,11999,4015,11999,4015,0,533.8
담방아파트,39226,645,48,645,48,0,23.1
당곡고개,80048,124,654,124,654,0,25.93
당곡고개,80049,695,56,695,56,0,25.03
당미마을,41552,4514,6627,4514,6627,0,371.37
당미마을,41553,4621,3843,4621,3843,0,282.13
당산119안전센터.당산역,19996,710,17,710,17,0,24.23
당산리,43450,3,101,3,101,0,3.47
당산리,43700,127,9,125,9,2,4.53
당산리검문소,43699,143,9,141,9,2,5.07
당산리검문소,43752,6,115,6,115,0,4.03
당산역.삼성래미안아파트,19175,300,33,300,33,0,11.1
당산역.지하철2호선,19645,22,1166,22,1166,0,39.6
당산역광역환승센터,19019,416,7720,416,7720,0,271.2
당산종점,43669,0,10,0,10,0,0.33
당산종점,43725,13,1,13,1,0,0.47
당산초등학교,41418,5728,3192,5728,3192,0,297.33
당산초등학교,41419,2085,2865,2085,2865,0,165
당산초등학교아래사거리,41644,2,166,2,166,0,5.6
당산초등학교아래사거리,41645,728,617,728,617,0,44.83
당하대주파크빌,42392,2213,1776,2213,1776,0,132.97
당하동탑스빌아파트,42639,3842,3585,3842,3585,0,247.57
당하동행정복지센터,42886,8224,6557,8224,6557,0,492.7
당하메디칼,42402,1781,2590,1781,2590,0,145.7
당하초등학교,42396,1491,1128,1491,1128,0,87.3
당하초등학교,42399,1479,1262,1479,1262,0,91.37
당하탑스빌아파트,42393,2194,2753,2194,2753,0,164.9
당하푸르지오,42403,1305,980,1305,980,0,76.17
당하푸르지오,42502,992,4410,992,4410,0,180.07
당하풍림아이원2차,42661,77,920,77,920,0,33.23
당하풍림아이원2차,42662,630,185,630,185,0,27.17
당하풍림아파트,42405,1497,11731,1497,11731,0,440.93
대경화성,39789,1176,710,1176,710,0,62.87
대경화성,39790,963,1629,963,1629,0,86.4
대곶사거리,80008,1664,5859,1664,5859,0,250.77
대곶사거리,80009,6838,1751,6838,1751,0,286.3
대기이에스티,39013,159,464,159,464,0,20.77
대동1차후문(종점),40553,688,728,688,728,0,47.2
대동도어(주),39983,922,10,922,10,0,31.07
대동도어(주),39984,6,990,6,990,0,33.2
대동아파트,37042,9256,2669,9256,2669,0,397.5
대동아파트,37504,5495,9524,5495,9524,0,500.63
대동아파트,39256,358,4899,358,4899,0,175.23
대동아파트,39473,3915,204,3915,204,0,137.3
대동아파트,39474,114,6992,114,6992,0,236.87
대동아파트,40491,492,214,492,214,0,23.53
대동아파트,40569,8198,4164,8198,4164,0,412.07
대동아파트,41172,2922,816,2922,816,0,124.6
대동아파트,42304,1982,3611,1982,3611,0,186.43
대동아파트,42306,2327,1574,2327,1574,0,130.03
대동아파트정문앞,40277,1679,1125,1679,1125,0,93.47
대동아파트후문,41137,2454,4138,2454,4138,0,219.73
대동월드,38116,4935,3106,4935,3106,0,268.03
대동특수철강,39049,161,1232,161,1232,0,46.43
대룡2리마을회관앞,90026,1,35,0,35,1,1.2
대룡2리마을회관앞,90027,67,2,67,2,0,2.3
대룡시장,90020,307,1274,305,1274,2,52.7
대룡시장,90021,1451,351,1439,351,12,60.07
대륭맨숀,40242,11697,5980,11697,5980,0,589.23
대륭맨숀,40247,10537,11947,10537,11947,0,749.47
대림3차아파트301동앞,38681,400,37,400,37,0,14.57
대림3차아파트301동앞,38684,68,753,68,753,0,27.37
대림아파트,37053,10518,4725,10518,4725,0,508.1
대림아파트,37054,3467,7186,3467,7186,0,355.1
대림아파트,38257,7440,1682,7440,1682,0,304.07
대림아파트,40382,2589,9661,2589,9661,0,408.33
대림아파트,42609,1932,2429,1932,2429,0,145.37
대림아파트,42610,529,1744,529,1744,0,75.77
대림아파트후문,40397,1976,1443,1976,1443,0,113.97
대명아파트,37537,2591,6199,2591,6199,0,293
대명초교,80002,1846,110,1846,110,0,65.2
대명초교,80003,215,1438,215,1438,0,55.1
대명휴먼아파트,37698,662,202,662,202,0,28.8
대문리고개입구,43546,745,570,740,570,5,43.83
대문리고개입구,90466,409,533,408,533,1,31.4
대문목재,89206,201,181,201,181,0,12.73
대문목재,89207,295,10,295,10,0,10.17
대문촌마을,90058,1,4,1,4,0,0.17
대문촌마을,90059,1,20,1,20,0,0.7
대박주유소,36091,2499,2756,2499,2756,0,175.17
대부고교차로,18388,0,2,0,2,0,0.07
대부관광호텔,62040,271,35,271,35,0,10.2
대부도서관,18389,0,29,0,29,0,0.97
대부도서관,18391,4,19,4,19,0,0.77
대부동행정복지센터,62011,386,1394,386,1394,0,59.33
대부동행정복지센터,62012,1445,259,1445,259,0,56.8
대부중고등학교,62027,381,83,381,83,0,15.47
대부중고등학교,62028,57,231,57,231,0,9.6
대부파출소앞,62036,4,124,4,124,0,4.27
대부파출소앞,62042,100,5,100,5,0,3.5
대사마을,43947,10,171,10,171,0,6.03
대사마을,43948,111,23,110,23,1,4.47
 대산-기점,90259,58,0,58,0,0,1.93
 대산-종점,90261,36,39,36,39,0,2.5
대산1리마을회관,90449,137,2,137,2,0,4.63
대산1리마을회관,90468,3,91,3,91,0,3.13
대산1리삼거리,90450,219,6,218,6,1,7.5
대산1리삼거리,90469,0,31,0,31,0,1.03
대산2리마을회관,90451,209,3,207,3,2,7.07
대산2리마을회관,90470,12,148,12,148,0,5.33
대산리고인돌앞,90452,44,9,44,9,0,1.77
대산리고인돌앞,90471,0,68,0,68,0,2.27
대산침례교회앞,90465,20,1,20,1,0,0.7
대상스틸,89007,106,1011,106,1011,0,37.23
대성베르힐아파트(가정성당),89240,1863,3165,1863,3165,0,167.6
대성베르힐아파트(가정성당),89241,6299,2764,6299,2764,0,302.1
대성유니드아파트,40674,1257,4739,1257,4739,0,199.87
대성유니드아파트,40675,2686,513,2686,513,0,106.63
대신아파트,41406,5993,1642,5993,1642,0,254.5
대신철강,42859,3,1034,3,1034,0,34.57
대야초교.ABC학습타운입구,70017,346,2072,346,2072,0,80.6
대야초교.ABC학습타운입구,70020,2207,484,2207,484,0,89.7
대양자동차학원,35073,11,1852,11,1852,0,62.1
대우삼환아파트,38078,6755,4641,6755,4641,0,379.87
대우삼환아파트,38591,1422,3189,1422,3189,0,153.7
대우실업,41485,22,40,22,40,0,2.07
대우실업,41505,55,5,55,5,0,2
대우아파트,38206,4276,4079,4276,4079,0,278.5
대우아파트,38208,4109,3452,4109,3452,0,252.03
대우아파트,40321,201,327,201,327,0,17.6
대우아파트,40340,952,388,952,388,0,44.67
대우자동차운전학원,42262,595,211,595,211,0,26.87
대우자동차운전학원,42263,188,540,188,540,0,24.27
대우재아파트,39702,7,381,7,381,0,12.93
대우재아파트,39703,505,441,505,441,0,31.53
대우푸르지오,42407,28603,4492,28603,4492,0,1103.17
대우푸르지오,42842,620,1744,620,1744,0,78.8
대우푸르지오복합상가,39605,2107,1189,2107,1189,0,109.87
대우하나아파트,89073,15516,11880,15516,11880,0,913.2
대우하나아파트·2차리더스뷰106동,89074,9118,11733,9118,11733,0,695.03
대웅실업앞,92003,79,325,79,325,0,13.47
대원레스피아1단지아파트,42643,9732,53,9732,53,0,326.17
대원정밀,39475,393,668,393,668,0,35.37
대월초등학교,90094,4,12,4,12,0,0.53
대월초등학교,90095,42,34,42,34,0,2.53
대은교회,42143,4772,8480,4772,8480,0,441.73
대인고등학교,42344,1784,3544,1784,3544,0,177.6
대인고등학교,42345,4521,1997,4521,1997,0,217.27
대인고등학교,89490,663,2130,663,2130,0,93.1
대인고등학교,89622,4,27,4,27,0,1.03
대일엠앤쿡,39059,815,1595,815,1595,0,80.33
대장간마을,43703,228,127,226,127,2,11.83
대정,90117,2,76,2,76,0,2.6
대정,90118,43,4,43,4,0,1.57
대주아파트,42469,2577,10988,2577,10988,0,452.17
대주파크빌,42466,5932,1614,5932,1614,0,251.53
대진아파트,40415,2342,2503,2342,2503,0,161.5
대촌,43393,56,93,56,93,0,4.97
대촌,43545,41,13,41,13,0,1.8
대촌마을,41663,37,8,37,8,0,1.5
대토단지앞,39813,443,57,443,57,0,16.67
대한솔루션알앤디센터,39557,84,296,84,296,0,12.67
대한제당,35169,1260,44,1260,44,0,43.47
대한제당,35220,22,1476,22,1476,0,49.93
대현목재,89205,214,279,214,279,0,16.43
대화초등학교,37397,7187,3004,7187,3004,0,339.7
대화초등학교,37399,2625,4708,2625,4708,0,244.43
대흥,43194,38,316,38,316,0,11.8
대흥,43591,345,19,337,19,8,12.13
대흥식당,35688,38,62,38,62,0,3.33
더리미경로당,43363,15,8,15,8,0,0.77
더리미경로당,43731,22,15,22,15,0,1.23
더리미미술관,43961,67,13,67,13,0,2.67
더리미미술관,43962,0,2,0,2,0,0.07
더리미장어마을,43680,10,116,10,116,0,4.2
더리미장어마을,43864,24,8,24,8,0,1.07
더샵그린스퀘어105동,92021,5912,818,5912,818,0,224.33
더샵그린스퀘어107동,92022,621,6254,621,6254,0,229.17
더샵그린애비뉴,38486,15172,9026,15172,9026,0,806.6
더샵그린애비뉴,38510,1163,67,1163,67,0,41
더샵그린워크1단지,38495,5836,2420,5836,2420,0,275.2
더샵부평센트럴시티(101동),40061,2482,3264,2482,3264,0,191.53
더샵부평센트럴시티(101동),40065,3054,1770,3054,1770,0,160.8
더샵부평센트럴시티(127동),40050,10815,14967,10815,14967,0,859.4
더샵센트럴시티204동,92020,89,4417,89,4417,0,150.2
더샵센트럴시티205동,92019,6580,2835,6580,2835,0,313.83
더샵송도마리나베이,38765,1362,2387,1362,2387,0,124.97
더샵송도마리나베이,38766,1619,845,1619,845,0,82.13
더샵송도센터니얼,38794,475,1673,475,1673,0,71.6
더샵송도센터니얼,38795,1392,369,1392,369,0,58.7
더샵송도프라임뷰20단지,38561,1473,4646,1473,4646,0,203.97
더샵아르테아파트,37686,778,2605,778,2605,0,112.77
더샵엑스포빌리지,38480,8592,3614,8592,3614,0,406.87
더샵퍼스트파크13단지,38601,1168,162,1168,162,0,44.33
더샵퍼스트파크13단지,38602,95,655,95,655,0,25
더샵하버뷰,38485,13808,9905,13808,9905,0,790.43
더샵하버뷰,38487,3615,2168,3615,2168,0,192.77
더샵하버뷰(D13),38453,2635,1926,2635,1926,0,152.03
더샵하버뷰(D13),38466,4165,2946,4165,2946,0,237.03
더샵하버뷰(D14),38454,1886,1228,1886,1228,0,103.8
더샵하버뷰14단지,38504,3098,2332,3098,2332,0,181
더월드스테이트2단지,37657,812,582,812,582,0,46.47
더월드스테이트후문,37422,123,795,123,795,0,30.6
더포레스트아파트,39876,8296,2054,8296,2054,0,345
더포레스트아파트,39877,4768,8723,4768,8723,0,449.7
더프라우,38410,8721,27770,8721,27770,0,1216.37
더필립요양병원,40461,2268,3853,2268,3853,0,204.03
덕고개삼거리,43723,47,39,47,39,0,2.87
덕고개삼거리,43750,12,80,12,80,0,3.07
덕골,43397,30,5,30,5,0,1.17
덕골,43399,19,26,19,26,0,1.5
덕교3거리,35012,179,28,179,28,0,6.9
덕교동,35003,644,179,644,179,0,27.43
덕교동,35005,155,1137,155,1137,0,43.07
덕교동,35259,1101,307,1101,307,0,46.93
덕교삼거리,35214,15,220,15,220,0,7.83
덕신고등학교(강화읍교회),90228,29,115,29,115,0,4.8
덕신고등학교(강화읍교회),90229,44,82,44,82,0,4.2
덕유마을.설악마을,11187,2733,1443,2733,1443,0,139.2
덕유마을.설악마을,55073,1266,719,1266,719,0,66.17
덕음,43657,22,12,22,12,0,1.13
덕응,43983,6,13,6,13,0,0.63
덕응,43986,18,20,18,20,0,1.27
덕정가든,43173,1,64,1,64,0,2.17
덕정가든,43296,111,2,111,2,0,3.77
덕진사거리,43870,20,14,19,14,1,1.13
덕진사거리,90310,23,47,23,47,0,2.33
덕진진,43637,16,59,16,59,0,2.5
덕진진,43672,95,14,95,14,0,3.63
덕창기계,39723,171,47,171,47,0,7.27
덕포리,43006,389,256,388,256,1,21.5
덕포리,43100,201,323,201,323,0,17.47
덕하교앞,43449,42,35,42,35,0,2.57
덕하교앞,43727,24,57,24,57,0,2.7
덕화2리,43468,55,13,55,13,0,2.27
덕화2리,43730,4,29,4,29,0,1.1
덕화2리마을회관,43923,31,12,31,12,0,1.43
덕화2리마을회관,43924,7,15,7,15,0,0.73
덕화3리마을회관,43609,164,120,162,120,2,9.47
덕화3리입구,43469,14,1,14,1,0,0.5
덕화3리입구,43729,15,30,15,30,0,1.5
덕화교회앞,90398,0,20,0,20,0,0.67
덕화교회앞,90399,20,1,19,1,1,0.7
도간마을,43612,5,0,5,0,0,0.17
도간마을,43664,0,40,0,40,0,1.33
도감말,43733,5,9,5,9,0,0.47
도감말,43754,17,6,14,6,3,0.77
도곡한신아파트,23504,34,63,34,63,0,3.23
도담공원.푸르지오더베뉴,89397,2732,2736,2732,2736,0,182.27
도담공원.푸르지오더베뉴,89398,2707,1812,2707,1812,0,150.63
도담공원·이음중고등학교,89482,1301,1830,1301,1830,0,104.37
도담공원·이음중고등학교,89547,2273,646,2273,646,0,97.3
도두리마을,41565,20068,3239,20068,3239,0,776.9
도두리마을,41566,4060,15135,4060,15135,0,639.83
도림고등학교,92066,310,277,310,277,0,19.57
도림동고개,39160,1251,661,1251,661,0,63.73
도림동고개,39161,744,1745,744,1745,0,82.97
도림동입구,39140,8896,2559,8896,2559,0,381.83
도림동입구,39141,6,2183,6,2183,0,72.97
도림아이파크아파트,39155,8629,6928,8629,6928,0,518.57
도림육교,39154,5690,7629,5690,7629,0,443.97
도림주공1단지,39152,14949,12270,14949,12270,0,907.3
도림주공1단지,39153,13660,11143,13660,11143,0,826.77
도림주공208동,39142,6942,3737,6942,3737,0,355.97
도림주공208동,39143,4747,7274,4747,7274,0,400.7
도림주공2단지,39146,4254,3563,4254,3563,0,260.57
도림주공2단지,39149,2871,2490,2871,2490,0,178.7
도림주철관1공장,89307,407,262,407,262,0,22.3
도림주철관공업(주),42293,2966,1169,2966,1169,0,137.83
도림포도원,39150,359,3378,359,3378,0,124.57
도림포도원,39151,449,458,449,458,0,30.23
도원고개(도원역),36001,3399,3096,3399,3096,0,216.5
도원고개(동구청방향),36170,91,37,91,37,0,4.27
도원동행정복지센터,35180,3430,2760,3430,2760,0,206.33
도원동행정복지센터,36128,119,301,119,301,0,14
도원동행정복지센터(앞),35788,101,258,101,258,0,11.97
도원동행정복지센터(앞),35798,202,76,202,76,0,9.27
도원역(인천축구전용경기장),35176,8724,4861,8724,4861,0,452.83
도원역(인천축구전용경기장),37549,1449,3891,1449,3891,0,178
도장골삼거리,44122,1,6,1,6,0,0.23
도장재마을,43167,48,2,48,2,0,1.67
도장재마을,43225,3,30,3,30,0,1.1
도화1동행정복지센터,37340,12090,10997,12090,10997,0,769.57
도화IC,37356,27542,24146,27542,24146,0,1722.93
도화e편한세상604동,37578,521,125,521,125,0,21.53
도화e편한세상아파트,37612,199,1994,199,1994,0,73.1
도화e편한세상아파트,37613,4734,1350,4734,1350,0,202.8
도화e편한세상아파트5단지,37624,3476,1747,3476,1747,0,174.1
도화e편한세상아파트6단지,37626,2383,5047,2383,5047,0,247.67
도화사거리.도화역,37390,777,716,777,716,0,49.77
도화사거리.도화역,37392,474,1275,474,1275,0,58.3
도화사거리·더샵인천스카이타워,37673,9265,4957,9265,4957,0,474.07
도화사거리·더샵인천스카이타워,37674,3544,7571,3544,7571,0,370.5
도화서희스타힐스,37625,1932,3180,1932,3180,0,170.4
도화역,37629,7401,7254,7401,7254,0,488.5
도화초등학교.수봉도서관,37366,8335,6875,8335,6875,0,507
도화초등학교.수봉도서관,37367,13841,15213,13841,15213,0,968.47
독골사거리,42175,3311,1319,3311,1319,0,154.33
독배로317번길(삼거리),37634,6962,171,6962,171,0,237.77
독장골,43351,0,17,0,17,0,0.57
독장골,43846,17,3,17,3,0,0.67
독쟁이고개,90433,474,143,474,143,0,20.57
독쟁이고개,90443,8,66,8,66,0,2.47
독정로.검단LH37단지,89600,1170,655,1170,655,0,60.83
독정로.검단LH37단지,89601,1120,1126,1120,1126,0,74.87
독정로.태평아파트,89598,254,159,254,159,0,13.77
독정로.태평아파트,89599,57,516,57,516,0,19.1
독정역(서구동구예비군훈련장),42377,9170,5973,9170,5973,0,504.77
독정역(서구동구예비군훈련장),42378,9724,10334,9724,10334,0,668.6
독정이고개,37234,27867,22701,27867,22701,0,1685.6
독정이고개,37238,21518,26781,21518,26781,0,1609.97
돈대마을,43925,44,3,44,3,0,1.57
돈대마을,43926,5,38,5,38,0,1.43
돈대모루,43422,11,35,11,35,0,1.53
돈대모루,43447,30,15,30,15,0,1.5
돌머루(대산종점),43707,100,68,99,68,1,5.6
돌산밑,35320,64,17,64,17,0,2.7
돌산밑,35396,10,168,10,168,0,5.93
돌팍재삼거리,35273,808,1094,808,1094,0,63.4
돌팍재삼거리,35277,1028,785,1028,785,0,60.43
돌팍재한뿌리,35304,215,355,215,355,0,19
돌팍재한뿌리,35315,315,356,315,356,0,22.37
동강리,35317,36,124,36,124,0,5.33
동강리,35393,351,38,344,38,7,12.97
동강리(그린빌앞),35245,80,111,73,111,7,6.37
동강리(그린빌앞),35246,28,15,27,15,1,1.43
동검도삼거리,43223,6,42,6,42,0,1.6
동검도삼거리,43642,58,2,58,2,0,2
동검리마을회관입구,90069,0,14,0,14,0,0.47
동검리마을회관입구,90070,3,0,3,0,0,0.1
동검리입구,43856,1,25,1,25,0,0.87
동검리입구,43877,14,8,14,8,0,0.73
동검리종점,43889,79,47,79,47,0,4.2
동검상회,43226,3,0,3,0,0,0.1
동검상회,43519,0,3,0,3,0,0.1
동광제일교회,40411,597,587,597,587,0,39.47
동교동삼거리,22012,5295,26,5295,26,0,177.37
동교동삼거리,23033,79,4095,79,4095,0,139.13
동구선거관리위원회,36110,3343,9533,3343,9533,0,429.2
동구청,36011,589,727,589,727,0,43.87
동구청소년수련관.달동네박물관,36026,15666,14928,15666,14928,0,1019.8
동국제강,36068,2227,3645,2227,3645,0,195.73
동국제강,36074,429,153,429,153,0,19.4
동국제강후문,36069,241,829,241,829,0,35.67
동국제강후문,36070,1095,187,1095,187,0,42.73
동남스포피아,38226,11381,9243,11381,9243,0,687.47
동남스포피아,38227,11222,9462,11222,9462,0,689.47
동남아파트,38267,1159,6953,1159,6953,0,270.4
동남아파트,38268,3232,1138,3232,1138,0,145.67
동남아파트,70039,589,764,589,764,0,45.1
동남아파트(무지개아파트),38337,1063,4013,1063,4013,0,169.2
동녘개,90147,3,12,3,12,0,0.5
동녘개,90148,40,18,39,18,1,1.93
동녘마을입구,39660,58,813,58,813,0,29.03
동들머리,43705,7,9,7,9,0,0.53
동들머리,43885,8,31,8,31,0,1.3
동막교회,43499,1,48,1,48,0,1.63
동막교회,43514,67,6,67,6,0,2.43
동막역(1번출구),38039,36500,53902,36500,53902,0,3013.4
동막역(3번출구),38433,48718,27945,48718,27945,0,2555.43
동막역(4번출구),38338,9189,1675,9189,1675,0,362.13
동막초등학교,38054,1176,4312,1176,4312,0,182.93
동막해변,43408,85,217,85,217,0,10.07
동막해변,43511,245,76,244,76,1,10.7
동문아파트,42436,17871,13191,17871,13191,0,1035.4
동방중학교,92038,313,438,313,438,0,25.03
동방초등학교,92037,28,114,28,114,0,4.73
동보2차아파트,41053,67,665,67,665,0,24.4
동보2차아파트,41059,1013,169,1013,169,0,39.4
동보노빌리티,35488,3267,4612,3265,4612,2,262.63
동보노빌리티,35489,4347,2653,4347,2653,0,233.33
동보아파트,39125,2736,5883,2736,5883,0,287.3
동보아파트,39126,5542,1755,5542,1755,0,243.23
동보아파트,41056,4239,829,4239,829,0,168.93
동보아파트,41063,1283,3674,1283,3674,0,165.23
동보아파트,41136,334,1010,334,1010,0,44.8
동보아파트,41143,13556,18101,13556,18101,0,1055.23
동보아파트,70040,343,610,343,610,0,31.77
동보아파트후문,41129,999,274,999,274,0,42.43
동부아파트,36052,1712,2432,1712,2432,0,138.13
동부아파트,37192,351,337,351,337,0,22.93
동산고,36018,13035,3558,13035,3558,0,553.1
동산고등학교,36021,5454,12668,5454,12668,0,604.07
동산교회,36010,1771,2455,1771,2455,0,140.87
동산교회,36012,2929,4179,2929,4179,0,236.93
동산교회,90303,4,10,4,10,0,0.47
동산리마을회관,90302,12,5,12,5,0,0.57
동산중고등학교(재능대정문),36029,10097,1296,10097,1296,0,379.77
동산휴먼시아2단지,36022,3375,541,3375,541,0,130.53
동산휴먼시아2단지,36023,1119,4897,1119,4897,0,200.53
동서식품,40623,2853,2502,2853,2502,0,178.5
동서식품,40624,2005,3468,2005,3468,0,182.43
동성.길훈아파트,42495,3100,7868,3100,7868,0,365.6
동성아파트,42496,6995,1848,6995,1848,0,294.77
동소정사거리,40188,8210,8860,8210,8860,0,569
동소정사거리,40189,11852,11937,11852,11937,0,792.97
동수교회,40184,120,1081,120,1081,0,40.03
동수역1번출구,40124,2017,12374,2017,12374,0,479.7
동수역2번출구,40108,3487,6407,3487,6407,0,329.8
동수역3번출구,40110,8386,6352,8386,6352,0,491.27
동아.팬더아파트,39233,7479,10509,7479,10509,0,599.6
동아.팬더아파트,39236,10962,6672,10962,6672,0,587.8
동아2단지정문,40324,1382,423,1382,423,0,60.17
동아금호아파트,38344,6831,12644,6831,12644,0,649.17
동아금호아파트,38347,7533,3451,7533,3451,0,366.13
동아아파트,37248,925,1250,925,1250,0,72.5
동아아파트,41070,3158,1686,3158,1686,0,161.47
동아아파트,41403,1563,4678,1563,4678,0,208.03
동아아파트,42404,3168,3532,3168,3532,0,223.33
동아아파트,42406,4891,2774,4891,2774,0,255.5
동아아파트후문,40257,2289,2395,2289,2395,0,156.13
동아아파트후문,40258,2200,1830,2200,1830,0,134.33
동아정밀,42037,1038,2640,1038,2640,0,122.6
동아풍림아파트,37037,15120,18733,15120,18733,0,1128.43
동암국민주택,40014,3297,676,3297,676,0,132.43
동암국민주택,40015,646,2189,646,2189,0,94.5
동암남부역,40034,34436,22295,34436,22295,0,1891.03
동암남부역,40797,133536,112757,133536,112757,0,8209.77
동암남부역,40861,681,6837,681,6837,0,250.6
동암남부역,40862,18431,13555,18431,13555,0,1066.2
동암북부역,40013,28429,12842,28429,12842,0,1375.7
동암북부역,40035,10570,28439,10570,28439,0,1300.3
동암북부역광장,40800,77690,64422,77690,64422,0,4737.07
동암사거리,40001,14869,15790,14869,15790,0,1021.97
동암사거리,40003,3812,6795,3812,6795,0,353.57
동양도서관,41522,6778,4179,6778,4179,0,365.23
동양도서관(휴먼빌아파트),41523,4575,4913,4575,4913,0,316.27
동양엔파트4단지,42820,3289,4895,3289,4895,0,272.8
동양엔파트4단지,42837,4800,2641,4800,2641,0,248.03
동양엔파트5단지,42986,2728,3946,2728,3946,0,222.47
동양주공1.2단지,41372,9583,2233,9583,2233,0,393.87
동양주공1.2단지,41373,2524,7886,2524,7886,0,347
동양지구입구,41445,3982,463,3982,463,0,148.17
동양지구입구,41446,983,5610,983,5610,0,219.77
동양체육문화센터,41554,2097,3539,2097,3539,0,187.87
동양체육문화센터,41555,2551,2206,2551,2206,0,158.57
동양하이테크,42966,212,221,212,221,0,14.43
동원로얄듀크마리나포레,35890,3287,1099,3287,1099,0,146.2
동원아파트,25166,288,493,288,493,0,26.03
동원아파트,25167,469,214,469,214,0,22.77
동원아파트,37376,4323,1987,4323,1987,0,210.33
동원아파트,37379,1706,2945,1706,2945,0,155.03
동인천,35188,26878,33612,26878,33612,0,2016.33
동인천(우리은행앞),35517,734,610,721,610,13,44.8
동인천동행정복지센터,35795,35,292,35,292,0,10.9
동인천동행정복지센터,35805,121,121,121,121,0,8.07
동인천역,35185,109292,49025,109292,49025,0,5277.23
동인천역,35187,5782,10528,5782,10528,0,543.67
동인천역,35191,71361,94349,71361,94349,0,5523.67
동인천역,35192,11932,23393,11932,23393,0,1177.5
동인천역북광장,36136,22682,17720,22682,17720,0,1346.73
동인천역북광장,36137,32901,14710,32901,14710,0,1587.03
동인천중학교,39229,1456,1012,1456,1012,0,82.27
동인천중학교,39230,1930,1271,1930,1271,0,106.7
동일방직,36031,3284,3197,3284,3197,0,216.03
동일방직,36032,3209,2668,3209,2668,0,195.9
동일아파트,35177,423,1654,423,1654,0,69.23
동작세무서,20005,135,2080,135,2080,0,73.83
동주농장,43349,4,9,4,9,0,0.43
동주농장,43401,36,2,34,2,2,1.27
동촌,43407,121,1,121,1,0,4.07
동촌,43793,3,88,3,88,0,3.03
동춘2동행정복지센터,38045,1840,6492,1840,6492,0,277.73
동춘2동행정복지센터,38046,5470,1156,5470,1156,0,220.87
동춘대동아파트,38345,5375,5752,5375,5752,0,370.9
동춘동종점,38037,670,1257,670,1257,0,64.23
동춘동차고지,38569,899,1206,899,1206,0,70.17
동춘롤러경기장,38704,581,638,581,638,0,40.63
동춘마을아파트,38082,7313,5875,7313,5875,0,439.6
동춘마을아파트,38087,3656,6417,3656,6417,0,335.77
동춘역,38346,35984,25150,35984,25150,0,2037.8
동춘역(이마트),38060,15289,618,15289,618,0,530.23
동춘역(이마트.스퀘어원),38070,33947,39907,33947,39907,0,2461.8
동화운수차고지(하차전용),41673,24,2461,24,2461,0,82.83
돼지슈퍼.간동입구,80019,127,909,127,909,0,34.53
두두미마을,43289,42,0,42,0,0,1.4
두두미마을,43869,0,20,0,20,0,0.67
두밀경노당,89328,5,106,5,106,0,3.7
두밀경노당,89331,113,7,113,7,0,4
두산밥캣코리아,36077,1,709,1,709,0,23.67
두산아파트,40564,2525,5078,2525,5078,0,253.43
두산위브더제니스센트럴여의아파트,37296,1720,1322,1720,1322,0,101.4
두산위브아파트,37043,16208,8781,16208,8781,0,832.97
두산위브아파트,40630,11549,647,11549,647,0,406.53
두산위브아파트,40648,434,1385,434,1385,0,60.63
두운1리마을회관앞,90047,21,88,20,88,1,3.63
두운1리마을회관앞,90048,59,5,59,5,0,2.13
두운리,43034,10,53,10,53,0,2.1
두운리,43540,63,231,63,231,0,9.8
둑실경로당,41498,1,24,1,24,0,0.83
둑실경로당,41514,43,0,43,0,0,1.43
둑실동(아라마루전망대),41494,10,97,10,97,0,3.57
