운행일자,정산사업자,정류장아이디,교통수단구분,정류장명,시도코드(법정동),시도명(법정동),시군구코드(법정동),시군구명(법정동),읍면동코드(법정동),읍면동명(법정동),모바일아이디
2025-06-13,마이비,4365461,버스,봉명고등학교후문,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365471,버스,국립농산물품질관리원,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365481,버스,두진하트리움아파트,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365491,버스,백봉아파트,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365501,버스,농수산물도매시장,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365521,버스,제2운천교,43,충청북도,43113,청주시 흥덕구,4311310400,운천동,정보없음
2025-06-13,마이비,4365531,버스,보성아파트,43,충청북도,43114,청주시 청원구,4311410200,내덕동,정보없음
2025-06-13,마이비,4365541,버스,율량LH2단지아파트,43,충청북도,43114,청주시 청원구,4311410600,주중동,정보없음
2025-06-13,마이비,4365551,버스,충북문화예술인회관,43,충청북도,43114,청주시 청원구,4311410100,우암동,정보없음
2025-06-13,마이비,4365561,버스,청원경찰서,43,충청북도,43114,청주시 청원구,4311410100,우암동,정보없음
2025-06-13,마이비,4365581,버스,북부시장,43,충청북도,43114,청주시 청원구,4311410100,우암동,정보없음
2025-06-13,마이비,4365591,버스,우암교회,43,충청북도,43114,청주시 청원구,4311410100,우암동,정보없음
2025-06-13,마이비,4365601,버스,우암오거리,43,충청북도,43111,청주시 상당구,4311110400,북문로3가,정보없음
2025-06-13,마이비,4365621,버스,청주시평생학습관,43,충청북도,43113,청주시 흥덕구,4311311400,복대동,정보없음
2025-06-13,마이비,4365631,버스,한국폴리텍대학,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365641,버스,에스케이뷰자이아파트,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365661,버스,코스모사원아파트,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365671,버스,LG_SK하이닉스기숙사,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365681,버스,봉명아이파크아파트,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365691,버스,두진하트리움아파트,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365701,버스,국립농산물품질관리원,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365711,버스,봉명고등학교후문,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365721,버스,청주흥덕경찰서,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365731,버스,오리온,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365741,버스,송절중학교,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365751,버스,흥덕새마을금고,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365761,버스,주현마을,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365771,버스,LG_SK하이닉스기숙사,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365781,버스,코스모사원아파트,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365801,버스,봉정사거리,43,충청북도,43113,청주시 흥덕구,4311311600,송정동,정보없음
2025-06-13,마이비,4365811,버스,청주시평생학습관,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365841,버스,농수산물도매시장,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
2025-06-13,마이비,4365851,버스,송절중학교,43,충청북도,43113,청주시 흥덕구,4311311500,봉명동,정보없음
